CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
08.098.114/0001-28;2023-06-01;1;SPE - TOLEDO;Benefícios futuros;41201684.99;Recursos próprios / emissão de cotas
08.098.114/0001-28;2023-06-01;1;REC 2018 IV EMPREEND;Benefícios futuros;65100;Recursos próprios / emissão de cotas
11.839.593/0001-09;2023-06-01;2;CRI 20I0573995;Lucro na Venda;7250000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Campinas - Air Liquide;Renda;20260000.00;Capital
11.839.593/0001-09;2023-06-01;2;Feira de Santana - CDD AMBEV;Renda;40102000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Santa Luzia;Renda;59114000.00;Capital
11.839.593/0001-09;2023-06-01;2;Loja Dengo;Renda;29031000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Camacari;Renda;51288000.00;Capital
11.839.593/0001-09;2023-06-01;2;Imovel Cotia - Symrise;Renda;51288000.00;Capital
11.839.593/0001-09;2023-06-01;2;City Gate Cabreuva I;Renda;105310000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Extremo Sul Vila Romana - G03;Renda;47600000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Extremo Sul Vila Romana - G02;Renda;51740000.00;Capital
11.839.593/0001-09;2023-06-01;2;Galpao Extremo Sul Vila Romana - G01;Renda;49630000.00;Capital
11.839.593/0001-09;2023-06-01;2;City Gate Cabreuva I;Renda;105310000.00;Capital
12.005.956/0001-65;2023-06-01;1;LCI POS LIQ ANTECIPA - CDI D 95;Alocação do Caixa do Fundo;25000000;Capital
12.005.956/0001-65;2023-06-01;1;ITAQUAQ INVEST IMOB E PAR SA;SPE Investida do Fundo;45000;Capital
12.005.956/0001-65;2023-06-01;1;N.L.P.S.P.E. EMPREENDIMENTOS E;SPE Investida do Fundo;2800000;Capital
12.005.956/0001-65;2023-06-01;1;RT 105 EMPREENDIMENTOS E PARTI;SPE Investida do Fundo;6000000;Capital
12.005.956/0001-65;2023-06-01;1;CRI 21E0669785;Alocação do Caixa do Fundo;59806015.25;Capital
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 8ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;311445892.61;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 13ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;280301303.35;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 14ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;249156714.09;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 39ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;218012124.83;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 40ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;186887469.81;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZAC - Série nº 65 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;166070023.3;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;141966466.98;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 2 da 33ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;140089646.29;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 5 da 33ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;140047600;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 2 da 176ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;65000000;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 153ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;59664554.86;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;57000000;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 154ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;56290798.19;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 7 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;41250000;Emissão de Cotas
