CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
04.141.645/0001-03;2023-12-01;1;Cond Continental Square Faria Lima 18 conjuntos;166660000;S;0.0117
04.141.645/0001-03;2023-12-01;1;75% do Hotel Pullman Vila Olimpia;132240000;S;0.0171
04.644.612/0001-78;2023-12-01;1;IMOVEL CESTO-HOTEL;16715130;S;-0.0019
08.098.114/0001-28;2023-06-01;1;Loja - Centro E Call Center - 305Hsi;26000000;S;-0.3158
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Pátio Belém - 306Hsi;36100000;S;0.0649
08.098.114/0001-28;2023-06-01;1;Loja - Centro Bh - 307Hsi;36400000;S;-0.057
08.098.114/0001-28;2023-06-01;1;Loja - Del Rey Bh - 308Hsi;21800000;S;0.0481
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Minas - 309Hsi;24100000;S;0.0478
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Pátio Brasil - 310Hsi;22400000;S;0.0616
08.098.114/0001-28;2023-06-01;1;Loja - Centro Campinas - 311Hsi;27800000;S;-0.0347
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Curitiba - 312Hsi;18000000;S;0.0526
08.098.114/0001-28;2023-06-01;1;Loja - Duque De Caxias - 313Hsi;27800000;S;-0.0512
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Iguatemi Fortal - 314Hsi;28800000;S;0.0435
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Goiânia - 315Hsi;18000000;S;0.0465
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Maceió - 316Hsi;42250000;S;0.056
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Niterói - 317Hsi;50300000;S;0.0286
08.098.114/0001-28;2023-06-01;1;Loja - Nova Iguaçu - 318Hsi;25500000;S;-0.059
08.098.114/0001-28;2023-06-01;1;Loja - Recife - 319Hsi;36400000;S;-0.0594
08.098.114/0001-28;2023-06-01;1;Loja - Ouvidor - 320Hsi;46000000;S;-0.0476
08.098.114/0001-28;2023-06-01;1;Loja - Copacabana - 321Hsi;71800000;S;-0.0639
08.098.114/0001-28;2023-06-01;1;Garagem Copacabana - 322Hsi;4400000;S;-0.0222
08.098.114/0001-28;2023-06-01;1;Loja - Shopping Norte - 323Hsi;53600000;S;0.0288
08.098.114/0001-28;2023-06-01;1;Loja - Tijuca - 324Hsi;43200000;S;-0.067
08.098.114/0001-28;2023-06-01;1;Loja - Shopping  Iguatemi Rj - 325Hsi;4900000;S;-0.3194
