CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
01.964.775/0001-40;2023-12-01;1;;;;;;1;744200;0.0591;0;0.0591;;;;;;5;11838800;0.9408;0;0.9408;;;;;;;;;;;;;;;;;;;;
04.141.645/0001-03;2023-12-01;1;14791;1202101;0.8707;0.7889;0.0818;2;178569;0.1293;0.0636;0.0657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.644.612/0001-78;2023-12-01;1;1;1306216.48;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.098.114/0001-28;2023-06-01;1;199;2072331.96;0.2329;0.0546;0.1783;1;783005;0.088;0;0.088;;;;;;;;;;;;;;;;;;;;;;;;;;1;6043387.03961421;0.6791;0;0.6791
08.696.175/0001-97;2023-06-01;1;7797;927162;1;0.9976;0.0024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.827.568/0001-05;2023-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;37122134.4905246;1;;1
11.839.593/0001-09;2023-06-01;2;221702;21066892;1;0.826427267961501;0.173572732038499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.945.604/0001-27;2023-06-01;1;963;206275;0.3828;0.8515;0.1485;2;56796;0.1054;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;275800;0.5118;1;0
12.005.956/0001-65;2023-06-01;1;250909;24157121;1;0.94;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.978.943/0001-72;2023-06-01;1;478;4229724;0.302298259920568;0.733956872836147;0.266043127163853;6;7268367;0.519469992974502;0.678716278360738;0.321283721639262;0;0;0;0;0;1;2493799;0.17823174710493;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
