CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
01.964.775/0001-40;01/12/2023;1;04/01/2024;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;03/11/2005;INVESTIDOR QUALIFICADO E PROFISSIONAL;0;12583000;S;N;;;;Indeterminado;;31/dez;S;N;N;S;N;BCV - BANCO DE CREDITO E VAREJO S/A;01964775000140;AVENIDA JUSCELINO KUBITSCHEK;1830;10º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04543-000;11 98041-8957;;;N/C;rodrigo.rosario@bancobmg.com.br
04.141.645/0001-03;01/12/2023;1;09/03/2024;F I I CONTINENTAL SQUARE FARIA LIMA;29/08/2000;INVESTIDORES EM GERAL;BRFLMACTF009;1380670;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/dez;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;4,4077E+13;AV. NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
04.644.612/0001-78;01/12/2023;1;11/01/2024;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO;13/09/2021;INVESTIDOR PROFISSIONAL;BROLMPCTF009;1306216.48;S;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/dez;S;N;N;S;N;RJI CTVM LTDA;04644612000178;AVENIDA RIO BRANCO;138;4 ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040-002;21 3500-4500;21 3500-4514;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
08.098.114/0001-28;01/06/2023;1;28/09/2023;HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;26/06/2006;INVESTIDORES EM GERAL;BRPRGDCTF001;8898724;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BRL TRUST DTVM S.A;08098114000128;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;juridico.fii@apexgroup.com
08.696.175/0001-97;01/06/2023;1;20/09/2023;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;30/11/2009;INVESTIDORES EM GERAL;BRFIIPCTF001;927162;N;N;Renda;Híbrido;Passiva;Indeterminado;;30/jun;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;08696175000197;Avenida das Américas;3.434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
11.827.568/0001-05;01/06/2023;1;18/07/2023;INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO;23/06/2010;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRINC1CTF005;37.122.134.490.524;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;RJI CTVM LTDA;1,18276E+13;RUA DO OUVIDOR;97;7 andar;CENTRO;RIO DE JANEIRO;RJ;20040030;21 3500-4500;21 3500-4514;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
11.839.593/0001-09;01/06/2023;2;29/09/2023;BTG PACTUAL LOGISTICA FII;06/08/2010;INVESTIDORES EM GERAL;BRBTLGCTF000;21066892;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
11.945.604/0001-27;01/06/2023;1;25/09/2023;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII;27/09/2010;INVESTIDOR QUALIFICADO;BRRBDSCTF006;126523;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;31/12/2024;30/jun;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;1,19456E+13;Avenida das Américas;3434;Bl. 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
12.005.956/0001-65;01/06/2023;1;15/09/2023;KINEA RENDA IMOBILIARIA FII;11/08/2010;INVESTIDORES EM GERAL;BRKNRICTF007;24157121;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;INTRAG DISTR DE TITULOS E VALORES MOBILIARIOS LTDA;6,24181E+13;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
12.978.943/0001-72;01/06/2023;1;28/09/2023;PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO;31/03/2011;INVESTIDORES EM GERAL;BRPQAGCTF009;13991890;N;N;Desenvolvimento para Renda;Logística;Ativa;Indeterminado;;30/jun;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-080;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
13.000.836/0001-38;01/06/2023;1;26/09/2023;OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;01/03/2018;INVESTIDOR QUALIFICADO;BRBRTYCTF000;2.397.475.522;N;N;Renda;Outros;Ativa;Indeterminado;;30/jun;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2667;0800 179 444;(11) 2172-2600;www.planner.com.br;investfundos@planner.com.br
13.555.918/0001-49;01/12/2023;1;12/01/2024;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;11/03/2011;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRAQLLCTF008;14.502.386.792.392;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/dez;S;N;N;S;N;RJI CTVM LTDA;1,35559E+13;AVENIDA RIO BRANCO;138;4 ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040002;21 3500-4500;21 3500-4541;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
14.056.001/0001-62;01/06/2023;1;20/09/2023;PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;01/03/2016;INVESTIDOR QUALIFICADO;BRPRSNCTF005;51.699.979;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;26/07/2031;30/jun;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;1,4056E+13;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
14.080.689/0001-16;01/06/2023;1;26/09/2023;POLO FII RECEBÍVEIS IMOBILIÁRIOS I;09/05/2014;INVESTIDOR QUALIFICADO;BRPLRICTF000;954304;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;1,40807E+13;Avenida das Américas;3434;Bloco 7, Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
14.410.722/0001-29;01/06/2023;1;28/09/2023;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;23/08/2012;INVESTIDORES EM GERAL;BRBBPOCTF003;15919690;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;30/jun;S;N;N;S;N;BV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;1,44107E+13;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
