TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
F.I.I.;01.601.918/0001-59;FUNDO FORTALEZA INVESTIMENTO IMOBILIÁRIO;2024-02-29;77422635.75;1
F.I.I.;01.964.775/0001-40;FII GEO GUARARAPES;2024-02-29;1588854.00;6
F.I.I.;04.644.612/0001-78;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;16739333.24;1
F.I.I.;08.417.532/0001-30;FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM;2024-02-29;337191356.24;2
F.I.I.;09.006.914/0001-34;RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;125347470.90;8647
F.I.I.;10.347.505/0001-80;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES;2024-02-29;0.00;0
F.I.I.;10.456.810/0001-00;MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;62502554.16;345
F.I.I.;10.991.914/0001-15;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE;2024-02-29;110199650.87;3606
F.I.I.;11.827.568/0001-05;INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;46616792.18;1
F.I.I.;12.681.340/0001-04;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;163281527.54;9521
F.I.I.;12.927.767/0001-40;FUNDO DE INVESTIMENTO IMOBILIÁRIO DA REGIÃO DO PORTO;2024-02-29;-8895968.46;2
F.I.I.;12.989.974/0001-29;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA;2024-02-29;5236266835.31;1
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;141884440.57;84
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;449818187.98;19
F.I.I.;14.631.148/0001-39;HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;71641655.95;33
F.I.I.;15.394.563/0001-89;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;10287700.02;1263
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;2024-02-29;129450741.44;11
F.I.I.;16.543.270/0001-89;SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;65711247.81;23
F.I.I.;17.870.926/0001-30;VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;78039134.10;725
F.I.I.;18.874.965/0001-79;CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;167794894.69;53
F.I.I.;18.950.957/0001-64;CHALLENGER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;1608392691.24;1
F.I.I.;20.118.492/0001-21;PLATINUM FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;664797277.73;53
F.I.I.;21.500.514/0001-86;PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2024-02-29;61752064.49;1
F.I.I.;23.120.006/0001-06;FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTAGEM BTS - FII;2024-02-29;42405691.33;28
F.I.I.;23.740.527/0001-58;FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS;2024-02-29;1213747348.50;36193
F.I.I.;23.740.552/0001-31;FUNDO DE INVESTIMENTO IMOBILIARIO VOTORANTIM PATRIMONIAL XII;2024-02-29;793806.35;2
F.I.I.;23.740.595/0001-17;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING;2024-02-29;211113336.72;3878
F.I.I.;24.976.492/0001-13;IRON CAPITAL REAL ESTATE I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;558683378.01;10
F.I.I.;26.269.251/0001-60;WHITE BEAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;24666067.60;2
F.I.I.;26.452.053/0001-37;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANTILHAS;2024-02-29;283738998.26;1
F.I.I.;26.846.134/0001-11;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL LAND;2024-02-29;2604004.93;1
F.I.I.;27.368.600/0001-63;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA;2024-02-29;238284396.14;6125
F.I.I.;28.267.555/0001-13;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2024-02-29;322705239.47;114
F.I.I.;28.851.767/0001-43;FUNDO DE INVESTIMENTO IMOBILIARIO HOSPITAL UNIMED SUL CAPIXABA;2024-02-29;130797616.61;795
F.I.I.;29.010.599/0001-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO MBM I;2024-02-29;4784976.60;2
F.I.I.;31.373.514/0001-16;SÃO JORGE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;10571384.62;8
F.I.I.;31.524.769/0001-32;ELEV BRÁS FUNDO DE INVESTIMENTO IMOBILIARIO;2024-02-29;223139086.61;42
F.I.I.;31.524.789/0001-03;PORTO PREMIUM FUNDO DE INVESTIMENTO IMOBILIARIO;2024-02-29;385465914.24;53
F.I.I.;31.544.493/0001-54;FUNDO DE INVESTIMENTO IMOBILIÁRIO ECOPARQUE;2024-02-29;342009096.23;1
F.I.I.;31.544.514/0001-31;FUNDO DE INVESTIMENTO IMOBILIARIO MIRANTE DAS AGUAS;2024-02-29;63683791.51;3
F.I.I.;31.547.989/0001-81;FUNDO DE INVESTIMENTO IMOBILIÁRIO AMÉRICA LOGÍSTICA;2024-02-29;125262688.01;2
F.I.I.;31.713.934/0001-02;APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;18396179.31;1
F.I.I.;36.258.924/0001-30;PIEMONTE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;122261.18;2
F.I.I.;36.501.210/0001-00;BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;127312445.01;1
F.I.I.;36.846.817/0001-22;APOLLO 11 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;961335.69;1
F.I.I.;37.532.662/0001-12;COOPBENS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;0.00;1
F.I.I.;39.583.723/0001-04;BII VENTURA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2024-02-29;30262044.17;2
F.I.I.;39.591.218/0001-01;BASÍLICA PARTNERS CONSULTÓRIOS MÉDICOS MEDWELL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2024-02-29;16204035.08;9
F.I.I.;39.863.059/0001-49;FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS;2024-02-29;102111435.50;1441
F.I.I.;40.265.671/0001-07;KIJANI ASATALA FIAGRO - IMOBILIÁRIO - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS;2024-02-29;672344816.00;14840
F.I.I.;40.346.049/0001-15;GREEN LOG FUNDO DE INVESTIMENTO IMOBILIARIO;2024-02-29;301654573.62;1
F.I.I.;41.219.028/0001-00;TISHMAN SPEYER GESTÃO DE ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;77317506.58;1
F.I.I.;41.251.077/0001-11;FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;2792774.48;7
F.I.I.;42.537.601/0001-88;SPECIALE REAL ESTATE DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;42991431.48;130
F.I.I.;42.888.360/0001-11;DEVANT FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO-IMOBILIÁRIO;2024-02-29;64786154.30;19926
F.I.I.;42.888.583/0001-89;MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;207031991.25;5947
F.I.I.;42.922.127/0001-08;DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;45959181.64;687
F.I.I.;44.584.965/0001-44;FOCO FUNDO DE INVESTIMENTO IMOBILIARIO;2024-02-29;702185.81;2
F.I.I.;44.585.121/0001-18;ASSET BANK - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;1354898.27;2
F.I.I.;44.683.052/0001-85;FUNDO DE INVESTIMENTO IMOBILIARIO ALUMIE - FII;2024-02-29;1011306.93;3
F.I.I.;45.063.985/0001-32;ARTEMIS 2022 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;58075454.03;2
F.I.I.;47.102.860/0001-08;FUNDO DE INVESTIMENTO IMOBILIARIO EM ATIVOS DE SAUDE - SAUD;2024-02-29;107530098.65;8
F.I.I.;48.410.852/0001-83;JGP CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;10054875.54;2
F.I.I.;50.041.467/0001-58;FUNDO DE INVESTIMENTO IMOBILIÁRIO TERRENO QUINTAS GLOBAIS;2024-02-29;30351245.02;1
F.I.I.;50.135.849/0001-40;SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;76111175.51;92
